name,url
"SVG Repo - Search, explore, edit and share open licensed SVG vectors",https://www.svgrepo.com/logo.svg
Searching,https://www.svgrepo.com/_next/static/media/spin.6ffd8bb2.svg
Speech Recognition,https://www.svgrepo.com/show/438980/speech-recognition.svg
Specificity,https://www.svgrepo.com/show/438981/specificity.svg
Spread,https://www.svgrepo.com/show/438982/spread.svg
Speech Synthesis,https://www.svgrepo.com/show/438983/speech-synthesis.svg
Ssh,https://www.svgrepo.com/show/438984/ssh.svg
Sql,https://www.svgrepo.com/show/438985/sql.svg
Stack,https://www.svgrepo.com/show/438986/stack.svg
Standardization,https://www.svgrepo.com/show/438987/standardization.svg
Storage,https://www.svgrepo.com/show/438988/storage.svg
Stencil,https://www.svgrepo.com/show/438989/stencil.svg
Streams,https://www.svgrepo.com/show/438990/streams.svg
String Search,https://www.svgrepo.com/show/438991/string-search.svg
Style Calculations,https://www.svgrepo.com/show/438992/style-calculations.svg
Svelte,https://www.svgrepo.com/show/438993/svelte.svg
Svg,https://www.svgrepo.com/show/438994/svg.svg
Syntax,https://www.svgrepo.com/show/438995/syntax.svg
Syntax 2,https://www.svgrepo.com/show/438996/syntax-2.svg
Syntax 1,https://www.svgrepo.com/show/438997/syntax-1.svg
Task Runners,https://www.svgrepo.com/show/438998/task-runners.svg
System Testing,https://www.svgrepo.com/show/438999/system-testing.svg
Tc39,https://www.svgrepo.com/show/439000/tc39.svg
Tcp,https://www.svgrepo.com/show/439001/tcp.svg
Template Literals,https://www.svgrepo.com/show/439002/template-literals.svg
Test Driven Development,https://www.svgrepo.com/show/439003/test-driven-development.svg
Testing Methodologies,https://www.svgrepo.com/show/439004/testing-methodologies.svg
Test Runners,https://www.svgrepo.com/show/439005/test-runners.svg
The Golden Ratio,https://www.svgrepo.com/show/439006/the-golden-ratio.svg
The Internet,https://www.svgrepo.com/show/439007/the-internet.svg
The Pixel Pipeline,https://www.svgrepo.com/show/439008/the-pixel-pipeline.svg
The Why,https://www.svgrepo.com/show/439009/the-why.svg
Time Complexity,https://www.svgrepo.com/show/439010/time-complexity.svg
Touch Events,https://www.svgrepo.com/show/439011/touch-events.svg
Time To Interactive,https://www.svgrepo.com/show/439012/time-to-interactive.svg
Transactions,https://www.svgrepo.com/show/439013/transactions.svg
Total Blocking Time,https://www.svgrepo.com/show/439014/total-blocking-time.svg
Transforms,https://www.svgrepo.com/show/439015/transforms.svg
Transforms 1,https://www.svgrepo.com/show/439016/transforms-1.svg
Transpilers,https://www.svgrepo.com/show/439017/transpilers.svg
Trees,https://www.svgrepo.com/show/439018/trees.svg
Tree Shaking,https://www.svgrepo.com/show/439019/tree-shaking.svg
Trusted Web Activities,https://www.svgrepo.com/show/439020/trusted-web-activities.svg
Trie,https://www.svgrepo.com/show/439021/trie.svg
Typescript,https://www.svgrepo.com/show/439022/typescript.svg
Typography,https://www.svgrepo.com/show/439023/typography.svg
Udp,https://www.svgrepo.com/show/439024/udp.svg
Unit Testing,https://www.svgrepo.com/show/439025/unit-testing.svg
Ui States,https://www.svgrepo.com/show/439026/ui-states.svg
Usability Testing,https://www.svgrepo.com/show/439027/usability-testing.svg
Variable Fonts,https://www.svgrepo.com/show/439028/variable-fonts.svg
Vue,https://www.svgrepo.com/show/439029/vue.svg
SVG Repo Twitter,https://www.svgrepo.com/_next/static/media/twitter.29b6fbd9.svg
